# git=6d1c809-dirty  tag=phase0  date=2026-05-17T06:22:22Z
# sizes=10000,100000,1000000  reps=3  mode=all
kind,bench,runtime,N,rep,exit,bench_ms,real_s,user_s,sys_s,rss_b,peak_b,instructions,cycles
micro,exp_vec,jit,100000,2,0,3,0.00,0.00,0.00,3112960,2442048,55098385,16362351
micro,exp_vec,jit,100000,3,0,3,0.00,0.00,0.00,3112960,2425600,55108624,16067786
micro,exp_vec,baseline,1000000,1,0,31,0.03,0.02,0.00,10256384,9634560,398859490,103721257
micro,exp_vec,baseline,1000000,2,0,30,0.03,0.02,0.00,10256384,9651008,398568459,103686123
micro,exp_vec,baseline,1000000,3,0,31,0.03,0.02,0.00,10256384,9634560,398029085,104331140
micro,exp_vec,jit,1000000,1,0,30,0.03,0.02,0.00,10321920,9634560,397928358,102778645
micro,exp_vec,jit,1000000,2,0,30,0.03,0.02,0.00,10321920,9634560,398644512,104516833
micro,exp_vec,jit,1000000,3,0,30,0.03,0.02,0.00,10321920,9634560,398988456,104509829
micro,group,baseline,10000,1,0,1,0.00,0.00,0.00,2719744,2097984,38185257,9801004
micro,group,baseline,10000,2,0,1,0.00,0.00,0.00,2670592,2048832,37965460,10142550
micro,group,baseline,10000,3,0,1,0.00,0.00,0.00,2670592,2032384,37974760,9784672
micro,group,jit,10000,1,0,1,0.00,0.00,0.00,2768896,2048832,38272740,10272484
micro,group,jit,10000,2,0,1,0.00,0.00,0.00,2768896,2032384,38107702,9758717
micro,group,jit,10000,3,0,1,0.00,0.00,0.00,2768896,2048832,38098600,9613137
micro,group,baseline,100000,1,0,10,0.01,0.01,0.00,5439488,4817728,226396079,40042675
micro,group,baseline,100000,2,0,10,0.01,0.01,0.00,5439488,4801280,226329833,39460594
micro,group,baseline,100000,3,0,10,0.01,0.01,0.00,5521408,4883200,226412721,41852737
micro,group,jit,100000,1,0,10,0.01,0.01,0.00,5537792,4801280,226523417,40637196
micro,group,jit,100000,2,0,10,0.01,0.01,0.00,5537792,4801280,226566827,40449896
micro,group,jit,100000,3,0,10,0.01,0.01,0.00,5537792,4801280,226526522,40621081
micro,group,baseline,1000000,1,0,105,0.10,0.09,0.01,28016640,27411328,2105105216,343306621
micro,group,baseline,1000000,2,0,105,0.10,0.09,0.01,28016640,27411328,2104955052,342623211
micro,group,baseline,1000000,3,0,106,0.10,0.09,0.01,28016640,27411328,2104926027,345040803
micro,group,jit,1000000,1,0,109,0.11,0.09,0.01,28114944,27411328,2104962095,345084133
micro,group,jit,1000000,2,0,107,0.11,0.09,0.01,28114944,27411328,2105441203,347568582
micro,group,jit,1000000,3,0,108,0.11,0.09,0.01,28114944,27411328,2104657994,349725166
micro,inner_sq,baseline,10000,1,0,0,0.00,0.00,0.00,2392064,1786624,19821738,7259904
micro,inner_sq,baseline,10000,2,0,0,0.00,0.00,0.00,2392064,1803072,19723396,8181642
micro,inner_sq,baseline,10000,3,0,0,0.00,0.00,0.00,2392064,1786624,19700133,7471036
micro,inner_sq,jit,10000,1,0,0,0.00,0.00,0.00,2473984,1786624,19824438,7631564
micro,inner_sq,jit,10000,2,0,0,0.00,0.00,0.00,2473984,1786624,19822143,7576752
micro,inner_sq,jit,10000,3,0,0,0.00,0.00,0.00,2473984,1786624,19860483,8599688
micro,inner_sq,baseline,100000,1,0,3,0.00,0.00,0.00,3604480,3015488,42760791,16871618
micro,inner_sq,baseline,100000,2,0,3,0.00,0.00,0.00,3473408,2884416,42720428,15814333
micro,inner_sq,baseline,100000,3,0,2,0.00,0.00,0.00,3473408,2867968,42750989,15717468
micro,inner_sq,jit,100000,1,0,3,0.00,0.00,0.00,3555328,2867968,42897777,15901095
micro,inner_sq,jit,100000,2,0,2,0.00,0.00,0.00,3555328,2867968,42871105,15702038
micro,inner_sq,jit,100000,3,0,3,0.00,0.00,0.00,3555328,2867968,42950724,16747502
micro,inner_sq,baseline,1000000,1,0,30,0.03,0.02,0.00,14286848,13697856,275141753,104734642
micro,inner_sq,baseline,1000000,2,0,30,0.03,0.02,0.00,14286848,13681408,275542264,102259644
micro,inner_sq,baseline,1000000,3,0,30,0.03,0.02,0.00,14286848,13697856,276221577,105661803
micro,inner_sq,jit,1000000,1,0,30,0.03,0.02,0.00,14368768,13697856,275325203,104020842
micro,inner_sq,jit,1000000,2,0,30,0.03,0.02,0.00,14368768,13697856,275523064,104866450
micro,inner_sq,jit,1000000,3,0,30,0.03,0.02,0.00,14368768,13697856,276401891,105245198
micro,max,baseline,10000,1,0,0,0.00,0.00,0.00,2244608,1655552,17596496,6607631
micro,max,baseline,10000,2,0,0,0.00,0.00,0.00,2244608,1655552,17465301,7166604
micro,max,baseline,10000,3,0,0,0.00,0.00,0.00,2244608,1655552,17465685,6519528
micro,max,jit,10000,1,0,0,0.00,0.00,0.00,2310144,1655552,17583972,6380611
micro,max,jit,10000,2,0,0,0.00,0.00,0.00,2310144,1655552,17659536,7402879
micro,max,jit,10000,3,0,0,0.00,0.00,0.00,2310144,1672000,17594415,6679210
micro,max,baseline,100000,1,0,0,0.00,0.00,0.00,2605056,2016000,23339698,8647478
micro,max,baseline,100000,2,0,0,0.00,0.00,0.00,2605056,2016000,23327740,8356994
micro,max,baseline,100000,3,0,0,0.00,0.00,0.00,2605056,2016000,23338848,8783989
micro,max,jit,100000,1,0,0,0.00,0.00,0.00,2670592,2016000,23449063,8953143
micro,max,jit,100000,2,0,0,0.00,0.00,0.00,2670592,2016000,23454103,8635509
micro,max,jit,100000,3,0,0,0.00,0.00,0.00,2670592,2016000,23450555,8924635
micro,max,baseline,1000000,1,0,9,0.01,0.00,0.00,6209536,5636928,82332776,31958804
micro,max,baseline,1000000,2,0,7,0.01,0.00,0.00,6209536,5620480,82081802,31295543
micro,max,baseline,1000000,3,0,7,0.01,0.00,0.00,6209536,5620480,82006009,32331951
micro,max,jit,1000000,1,0,7,0.01,0.00,0.00,6275072,5620480,82116428,31199105
micro,max,jit,1000000,2,0,7,0.01,0.00,0.00,6275072,5620480,82188681,32333754
micro,max,jit,1000000,3,0,8,0.01,0.00,0.00,6275072,5620480,82306650,32132704
micro,outer,baseline,10000,1,0,0,0.00,0.00,0.00,2277376,1671936,16702408,6888256
micro,outer,baseline,10000,2,0,0,0.00,0.00,0.00,2277376,1671936,16575365,6205055
micro,outer,baseline,10000,3,0,0,0.00,0.00,0.00,2277376,1688384,16576249,6065806
micro,outer,jit,10000,1,0,0,0.00,0.00,0.00,2342912,1671936,16679924,6378959
micro,outer,jit,10000,2,0,0,0.00,0.00,0.00,2342912,1671936,16695594,7243960
micro,outer,jit,10000,3,0,0,0.00,0.00,0.00,2342912,1671936,16690707,6129062
micro,outer,baseline,100000,1,0,0,0.00,0.00,0.00,2408448,1803008,16669776,6407235
micro,outer,baseline,100000,2,0,0,0.00,0.00,0.00,2277376,1671936,16592162,6506559
micro,outer,baseline,100000,3,0,0,0.00,0.00,0.00,2277376,1671936,16567911,6172551
micro,outer,jit,100000,1,0,0,0.00,0.00,0.00,2342912,1671936,16706160,6111264
micro,outer,jit,100000,2,0,0,0.00,0.00,0.00,2342912,1671936,16727123,6703335
micro,outer,jit,100000,3,0,0,0.00,0.00,0.00,2342912,1688384,16696164,6863572
micro,outer,baseline,1000000,1,0,0,0.00,0.00,0.00,2277376,1688384,16605707,6100479
micro,outer,baseline,1000000,2,0,0,0.00,0.00,0.00,2277376,1671936,16570850,6038229
micro,outer,baseline,1000000,3,0,0,0.00,0.00,0.00,2277376,1671936,16570135,6333273
micro,outer,jit,1000000,1,0,0,0.00,0.00,0.00,2342912,1671936,16689391,6379620
micro,outer,jit,1000000,2,0,0,0.00,0.00,0.00,2342912,1671936,16697121,6694938
micro,outer,jit,1000000,3,0,0,0.00,0.00,0.00,2342912,1688384,16601783,6055404
micro,reverse,baseline,10000,1,0,0,0.00,0.00,0.00,2310144,1704704,18739378,7817082
micro,reverse,baseline,10000,2,0,0,0.00,0.00,0.00,2310144,1721152,18619271,7799434
micro,reverse,baseline,10000,3,0,0,0.00,0.00,0.00,2310144,1721152,18622172,6685430
micro,reverse,jit,10000,1,0,0,0.00,0.00,0.00,2359296,1704704,18744676,6962269
micro,reverse,jit,10000,2,0,0,0.00,0.00,0.00,2359296,1704704,18754790,7137104
micro,reverse,jit,10000,3,0,0,0.00,0.00,0.00,2359296,1704704,18736680,6899452
micro,reverse,baseline,100000,1,0,1,0.00,0.00,0.00,3031040,2425600,33336131,12018040
micro,reverse,baseline,100000,2,0,1,0.00,0.00,0.00,3031040,2442048,33377834,12300187
micro,reverse,baseline,100000,3,0,1,0.00,0.00,0.00,3031040,2425600,33357407,12405306
micro,reverse,jit,100000,1,0,1,0.00,0.00,0.00,3080192,2425600,33416168,12192458
micro,reverse,jit,100000,2,0,2,0.00,0.00,0.00,3080192,2425600,33476527,12548108
micro,reverse,jit,100000,3,0,1,0.00,0.00,0.00,3080192,2425600,33453966,12171390
micro,reverse,baseline,1000000,1,0,18,0.02,0.01,0.00,10240000,9634560,183470981,67507674
micro,reverse,baseline,1000000,2,0,17,0.02,0.01,0.00,10240000,9634560,183546110,63629729
micro,reverse,baseline,1000000,3,0,18,0.02,0.01,0.00,10240000,9634560,182505959,66176174
micro,reverse,jit,1000000,1,0,18,0.02,0.01,0.00,10289152,9634560,182023989,65088971
micro,reverse,jit,1000000,2,0,19,0.02,0.01,0.00,10289152,9634560,183278842,68162953
micro,reverse,jit,1000000,3,0,18,0.02,0.01,0.00,10289152,9651008,181663780,65726037
micro,scan,baseline,10000,1,0,0,0.00,0.00,0.00,2293760,1704704,19056996,7375497
micro,scan,baseline,10000,2,0,0,0.00,0.00,0.00,2293760,1704704,18934515,6959199
micro,scan,baseline,10000,3,0,0,0.00,0.00,0.00,2293760,1721152,18963861,7207385
micro,scan,jit,10000,1,0,0,0.00,0.00,0.00,2375680,1704704,19056751,6811099
micro,scan,jit,10000,2,0,0,0.00,0.00,0.00,2375680,1704704,19095630,7727673
micro,scan,jit,10000,3,0,0,0.00,0.00,0.00,2375680,1704704,19065893,7222492
micro,scan,baseline,100000,1,0,2,0.00,0.00,0.00,3014656,2425600,38351375,14380931
micro,scan,baseline,100000,2,0,2,0.00,0.00,0.00,3014656,2425600,38339964,14100548
micro,scan,baseline,100000,3,0,2,0.00,0.00,0.00,3014656,2425600,38362953,14400786
micro,scan,jit,100000,1,0,2,0.00,0.00,0.00,3096576,2425600,38473405,14560872
micro,scan,jit,100000,2,0,2,0.00,0.00,0.00,3096576,2425600,38495620,14883873
micro,scan,jit,100000,3,0,2,0.00,0.00,0.00,3096576,2442048,38507308,14850778
micro,scan,baseline,1000000,1,0,26,0.03,0.02,0.00,10223616,9651008,235144417,92813150
micro,scan,baseline,1000000,2,0,26,0.02,0.01,0.00,10223616,9634560,234229351,92009245
micro,scan,baseline,1000000,3,0,26,0.02,0.01,0.00,10223616,9651008,234143412,90054907
micro,scan,jit,1000000,1,0,26,0.02,0.01,0.00,10305536,9634560,234087774,91564415
micro,scan,jit,1000000,2,0,26,0.02,0.02,0.00,10305536,9634560,234926399,92898131
micro,scan,jit,1000000,3,0,26,0.02,0.01,0.00,10305536,9634560,234719735,91402949
micro,sort,baseline,10000,1,0,0,0.00,0.00,0.00,2441216,1835776,22745559,8555088
micro,sort,baseline,10000,2,0,0,0.00,0.00,0.00,2441216,1835776,22676496,8366130
micro,sort,baseline,10000,3,0,0,0.00,0.00,0.00,2441216,1835776,22668232,8584062
micro,sort,jit,10000,1,0,0,0.00,0.00,0.00,2490368,1852224,22770242,8580265
micro,sort,jit,10000,2,0,0,0.00,0.00,0.00,2490368,1835776,22851419,9930367
micro,sort,jit,10000,3,0,0,0.00,0.00,0.00,2490368,1852224,22777053,9474011
micro,sort,baseline,100000,1,0,7,0.01,0.00,0.00,4243456,3638016,75396527,31323530
micro,sort,baseline,100000,2,0,8,0.01,0.00,0.00,4243456,3638016,75397724,32443820
micro,sort,baseline,100000,3,0,7,0.01,0.00,0.00,4243456,3638016,75334483,31497545
micro,sort,jit,100000,1,0,7,0.01,0.00,0.00,4292608,3638016,75444482,30975838
micro,sort,jit,100000,2,0,7,0.01,0.00,0.00,4292608,3638016,75511170,30946857
micro,sort,jit,100000,3,0,7,0.01,0.00,0.00,4292608,3638016,75479463,31153250
micro,sort,baseline,1000000,1,0,98,0.10,0.08,0.01,22265856,21676864,608146710,320005877
micro,sort,baseline,1000000,2,0,99,0.10,0.08,0.01,22265856,21676864,607679103,322595536
micro,sort,baseline,1000000,3,0,98,0.10,0.08,0.01,22265856,21676864,606196352,319928408
micro,sort,jit,1000000,1,0,98,0.10,0.08,0.01,22315008,21693312,608224451,321480827
micro,sort,jit,1000000,2,0,98,0.10,0.08,0.01,22315008,21693312,608315792,320002244
micro,sort,jit,1000000,3,0,98,0.10,0.08,0.01,22315008,21676864,606789600,321830665
micro,sqrt_vec,baseline,10000,1,0,0,0.00,0.00,0.00,2310144,1704704,18883614,6729901
micro,sqrt_vec,baseline,10000,2,0,0,0.00,0.00,0.00,2310144,1704704,18786915,6794054
micro,sqrt_vec,baseline,10000,3,0,0,0.00,0.00,0.00,2310144,1704704,18787335,6887505
micro,sqrt_vec,jit,10000,1,0,0,0.00,0.00,0.00,2392064,1704704,18917371,6909327
micro,sqrt_vec,jit,10000,2,0,0,0.00,0.00,0.00,2392064,1704704,18888893,6898022
micro,sqrt_vec,jit,10000,3,0,0,0.00,0.00,0.00,2392064,1704704,18938181,7440576
micro,sqrt_vec,baseline,100000,1,0,2,0.00,0.00,0.00,3031040,2425600,35944878,12810696
micro,sqrt_vec,baseline,100000,2,0,2,0.00,0.00,0.00,3031040,2425600,35910182,12663630
micro,sqrt_vec,baseline,100000,3,0,2,0.00,0.00,0.00,3031040,2442048,36359008,13881314
micro,sqrt_vec,jit,100000,1,0,2,0.00,0.00,0.00,3112960,2425600,36038830,13605465
micro,sqrt_vec,jit,100000,2,0,2,0.00,0.00,0.00,3112960,2425600,36074576,13296064
micro,sqrt_vec,jit,100000,3,0,2,0.00,0.00,0.00,3112960,2425600,36056467,12870631
micro,sqrt_vec,baseline,1000000,1,0,20,0.02,0.01,0.00,10240000,9634560,208574074,71126049
micro,sqrt_vec,baseline,1000000,2,0,20,0.02,0.01,0.00,10240000,9651008,208578181,72470067
micro,sqrt_vec,baseline,1000000,3,0,21,0.02,0.01,0.00,10240000,9634560,208183922,75686200
micro,sqrt_vec,jit,1000000,1,0,21,0.02,0.01,0.00,10321920,9634560,208574946,73570074
micro,sqrt_vec,jit,1000000,2,0,21,0.02,0.01,0.00,10321920,9651008,208320519,74902278
micro,sqrt_vec,jit,1000000,3,0,21,0.02,0.01,0.00,10321920,9634560,208831750,76607534
micro,sum,baseline,10000,1,0,0,0.00,0.00,0.00,2293760,1704704,18581486,7261258
micro,sum,baseline,10000,2,0,0,0.00,0.00,0.00,2293760,1721152,18479583,7526100
micro,sum,baseline,10000,3,0,0,0.00,0.00,0.00,2293760,1704704,18473787,7019768
micro,sum,jit,10000,1,0,0,0.00,0.00,0.00,2375680,1704704,18593754,6863408
micro,sum,jit,10000,2,0,0,0.00,0.00,0.00,2375680,1704704,18642675,7161147
micro,sum,jit,10000,3,0,0,0.00,0.00,0.00,2506752,1835776,18657645,7867720
micro,sum,baseline,100000,1,0,2,0.00,0.00,0.00,3014656,2442048,34728173,13648465
micro,sum,baseline,100000,2,0,2,0.00,0.00,0.00,3014656,2425600,34712908,13624895
micro,sum,baseline,100000,3,0,2,0.00,0.00,0.00,3080192,2491136,34857362,13759960
micro,sum,jit,100000,1,0,2,0.00,0.00,0.00,3194880,2523904,34900735,14111453
micro,sum,jit,100000,2,0,2,0.00,0.00,0.00,3096576,2425600,34843250,13825142
micro,sum,jit,100000,3,0,2,0.00,0.00,0.00,3096576,2442048,34869289,14515105
micro,sum,baseline,1000000,1,0,24,0.03,0.01,0.00,10223616,9634560,199210207,84999924
micro,sum,baseline,1000000,2,0,23,0.02,0.01,0.00,10223616,9634560,198229294,81799642
micro,sum,baseline,1000000,3,0,24,0.02,0.01,0.00,10223616,9634560,198603181,83031444
micro,sum,jit,1000000,1,0,23,0.02,0.01,0.00,10305536,9634560,198645573,82303731
micro,sum,jit,1000000,2,0,23,0.02,0.01,0.00,10305536,9634560,198103565,83650083
micro,sum,jit,1000000,3,0,24,0.02,0.01,0.00,10305536,9634560,198587455,84185959
strat,mac,baseline,0,1,0,12,0.01,0.00,0.00,3866624,3162880,184851302,56226321
strat,mac,baseline,0,2,0,11,0.01,0.00,0.00,3866624,3179328,184403806,54609671
strat,mac,baseline,0,3,0,12,0.01,0.00,0.00,3866624,3162880,184417779,56061367
strat,mac,jit,0,1,132,,0.00,0.00,0.00,3424256,2704128,43131408,16158805
strat,mac,jit,0,2,132,,0.00,0.00,0.00,3424256,2704128,43012521,16345076
strat,mac,jit,0,3,132,,0.00,0.00,0.00,3424256,2704128,43151346,17310703
strat,rsi,baseline,0,1,139,,0.00,0.00,0.00,20922368,20202240,56235094,22917446
strat,rsi,baseline,0,2,139,,0.02,0.00,0.00,20922368,20202240,55911227,23092117
strat,rsi,baseline,0,3,139,,0.00,0.00,0.00,20922368,20202240,56275091,22623945
strat,rsi,jit,0,1,139,,0.01,0.00,0.00,21004288,20218624,57541636,24493940
strat,rsi,jit,0,2,132,,0.02,0.00,0.00,3358720,2671360,42753809,18579988
strat,rsi,jit,0,3,139,,0.01,0.00,0.00,21004288,20218624,56313945,23976771
strat,zscore,baseline,0,1,139,,0.03,0.00,0.00,20873216,20169536,55944428,22868851
strat,zscore,baseline,0,2,139,,0.00,0.00,0.00,20873216,20185984,55863377,23132443
strat,zscore,baseline,0,3,139,,0.03,0.00,0.00,20873216,20153088,55781398,23592919
strat,zscore,jit,0,1,132,,0.00,0.00,0.00,3358720,2671360,42496288,17300380
strat,zscore,jit,0,2,139,,0.00,0.00,0.00,20955136,20169472,55807876,22136156
strat,zscore,jit,0,3,132,,0.03,0.00,0.00,3358720,2671360,42606868,18332793
