# git=d4f160a  tag=baseline  date=2026-05-17T06:04:00Z
# sizes=10000,100000,1000000  reps=3  mode=all
kind,bench,runtime,N,rep,exit,bench_ms,real_s,user_s,sys_s,rss_b,peak_b,instructions,cycles
micro,exp_vec,jit,100000,2,0,3,0.00,0.00,0.00,3276800,2605888,55178011,16272306
micro,exp_vec,jit,100000,3,0,3,0.00,0.00,0.00,3112960,2425600,55071068,16047725
micro,exp_vec,baseline,1000000,1,0,30,0.03,0.02,0.00,10289152,9634560,398080837,102989414
micro,exp_vec,baseline,1000000,2,0,30,0.03,0.02,0.00,10289152,9634560,398475349,104060217
micro,exp_vec,baseline,1000000,3,0,30,0.03,0.02,0.00,10289152,9634560,398014871,102928018
micro,exp_vec,jit,1000000,1,0,30,0.03,0.02,0.00,10321920,9667456,398668634,103673132
micro,exp_vec,jit,1000000,2,0,29,0.03,0.02,0.00,10321920,9634560,397954797,102884462
micro,exp_vec,jit,1000000,3,0,30,0.03,0.02,0.00,10321920,9651008,398615898,104098145
micro,group,baseline,10000,1,0,1,0.00,0.00,0.00,2703360,2032384,38142618,10761810
micro,group,baseline,10000,2,0,1,0.00,0.00,0.00,2703360,2048832,37968649,9446252
micro,group,baseline,10000,3,0,1,0.00,0.00,0.00,2703360,2032384,37970130,9588130
micro,group,jit,10000,1,0,1,0.00,0.00,0.00,2736128,2032384,38098681,10243190
micro,group,jit,10000,2,0,1,0.00,0.00,0.00,2736128,2032384,38062481,9799654
micro,group,jit,10000,3,0,1,0.00,0.00,0.00,2736128,2048832,38083356,9664934
micro,group,baseline,100000,1,0,10,0.01,0.01,0.00,5472256,4817728,226380376,40261309
micro,group,baseline,100000,2,0,11,0.01,0.01,0.00,5472256,4817728,226443817,40298117
micro,group,baseline,100000,3,0,10,0.01,0.01,0.00,5472256,4817728,226341438,40381856
micro,group,jit,100000,1,0,10,0.01,0.01,0.00,5505024,4801280,226560189,40485253
micro,group,jit,100000,2,0,10,0.01,0.01,0.00,5505024,4801280,226484859,40928843
micro,group,jit,100000,3,0,10,0.01,0.01,0.00,5505024,4801280,226524445,40679690
micro,group,baseline,1000000,1,0,108,0.11,0.09,0.01,28049408,27411328,2105311423,345333501
micro,group,baseline,1000000,2,0,105,0.10,0.09,0.01,28049408,27411328,2104326082,340473597
micro,group,baseline,1000000,3,0,106,0.10,0.09,0.01,28049408,27411328,2104795521,346533046
micro,group,jit,1000000,1,0,106,0.10,0.09,0.01,28082176,27411328,2104250640,344654190
micro,group,jit,1000000,2,0,105,0.10,0.09,0.01,28082176,27411328,2104739641,343610860
micro,group,jit,1000000,3,0,105,0.10,0.09,0.01,28082176,27411328,2104175798,340946599
micro,inner_sq,baseline,10000,1,0,0,0.00,0.00,0.00,2441216,1786624,19793556,7329902
micro,inner_sq,baseline,10000,2,0,0,0.00,0.00,0.00,2441216,1803072,19711430,7493320
micro,inner_sq,baseline,10000,3,0,0,0.00,0.00,0.00,2441216,1786624,19688660,7358491
micro,inner_sq,jit,10000,1,0,0,0.00,0.00,0.00,2457600,1803072,19863614,7600477
micro,inner_sq,jit,10000,2,0,0,0.00,0.00,0.00,2457600,1786624,19799771,8011447
micro,inner_sq,jit,10000,3,0,0,0.00,0.00,0.00,2457600,1803072,19790733,7529826
micro,inner_sq,baseline,100000,1,0,2,0.00,0.00,0.00,3522560,2867968,42673206,15513913
micro,inner_sq,baseline,100000,2,0,2,0.00,0.00,0.00,3522560,2884416,42669539,15813548
